trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
test_0,10:12,10:12,asd122,0,Test Event,0,0,0
test_0,10:13,10:13,rffr2212,1,Test Event,0,0,0
test_0,10:32,10:32,rffr22,2,Test Event,0,0,0
test_1,10:32,10:32,asd122,0,Test Event,0,0,0
test_1,10:33,10:33,rffr2212,1,Test Event,0,0,0
test_1,10:52,10:52,rffr22,2,Test Event,0,0,0
test_2,10:52,10:52,asd122,0,Test Event,0,0,0
test_2,10:53,10:53,rffr2212,1,Test Event,0,0,0
test_2,11:12,11:12,rffr22,2,Test Event,0,0,0
test_3,11:12,11:12,asd122,0,Test Event,0,0,0
test_3,11:13,11:13,rffr2212,1,Test Event,0,0,0
test_3,11:32,11:32,rffr22,2,Test Event,0,0,0
test_4,11:32,11:32,asd122,0,Test Event,0,0,0
test_4,11:33,11:33,rffr2212,1,Test Event,0,0,0
test_4,11:52,11:52,rffr22,2,Test Event,0,0,0
test_5,11:52,11:52,asd122,0,Test Event,0,0,0
test_5,11:53,11:53,rffr2212,1,Test Event,0,0,0
test_5,12:12,12:12,rffr22,2,Test Event,0,0,0
test_6,12:12,12:12,asd122,0,Test Event,0,0,0
test_6,12:13,12:13,rffr2212,1,Test Event,0,0,0
test_6,12:32,12:32,rffr22,2,Test Event,0,0,0
test_7,12:32,12:32,asd122,0,Test Event,0,0,0
test_7,12:33,12:33,rffr2212,1,Test Event,0,0,0
test_7,12:52,12:52,rffr22,2,Test Event,0,0,0
test_8,12:52,12:52,asd122,0,Test Event,0,0,0
test_8,12:53,12:53,rffr2212,1,Test Event,0,0,0
test_8,13:12,13:12,rffr22,2,Test Event,0,0,0
test_9,13:12,13:12,asd122,0,Test Event,0,0,0
test_9,13:13,13:13,rffr2212,1,Test Event,0,0,0
test_9,13:32,13:32,rffr22,2,Test Event,0,0,0
